D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
A,feel[+]weight[+],"this camera also has a great feel and weight to it" 
A,feel[+],"you feel like you are holding something of substance  not some cheap plastic toy" 
A,camera[+][p],"the more i work with it  the more i love it ! 
A,camera[+][u],"i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! 
A,camera[+],"this is my first digital camera  and i am very pleased with it" 
A,camera[+][u],"seriously  this thing has everything that a pro or expert amateur could want" 
A,picture[+] auto mode[+],"but at the same time  it takes wonderful pictures very easily in " auto " mode  so that even an average joe like me can use it ! 
A,four megapixel[+],"four megapixels is great" 
A,product[+][u],"it is a very amazing product" 
A,camera[+][p],"i highly recommend it" 
A,[t]love my new g 3 
A,feature[+],"just received this camera two days ago and already love the features it has" 
A,photo[+],"takes excellent photos" 
A,night mode[+],"night mode is clear as day" 
A,use[+][u],"i have not played with all the features yet  but the camera is easy to use once you get used to it" 
A,viewfinder[-],"the only drawback is the viewfinder is slightly blocked by the lens" 
A,camera[+],"overall it is the best camera on the market" 
A,picture quality[+],"a ) the picture quality ( color and sharpness of focusing ) are so great  it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time , - ) ) 
A,lens cover[-],"b ) the lens cover is surely loose  i already accidently finger-printed the len a few times  and au lens tigt and cause potential damage" 
A,zooming lever[-],"the zooming lever is shaky  i hope it does not operate mechanically  otherwise you 'll feel uneasy" 
A,camera[+],"i love this camera" 
A,picture[+],"took hundreds of pictures and they were great" 
A,color[+]picture[+]white balance[+],"great colors  pictures and white balance" 
A,optical zoom[+],"has 4x optical zoom which is higher than any other in the same price range" 
A,picture[-][u],"maybe it is my lack of experience  but i found shots with this camera very disappointing" 
A,price[-][u],"it was ( i sold it after a few months ) too expensive for the shots that i got" 
A,camera[-][u],"sure it had all the features  but when i tried to shoot a girl 's basketball game it just wan't up to the task" 
A,camera[-],"i found that low light situations combined with any sort of action left this camera in the dust" 
A,grain[-],"the grain was terrible" 
A,flash photo[-]noise[-],"well flash photos are never great  and there was still a lot of noise" 
A,photo[+],"when i took outdoor photos with plenty of light and the objects were n't moving  the photos were awesome" 
A,camera[+],"the camera was a marvel" 
A,camera[+][p],"it is versatile and seems to be one of the best" 
A,g3[+],"i chose the g3 because of its reputation for very high quality  clean images" 
A,lag time[-]flash[-],"the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light )  and the unsatisfactory light quality of the built-in flash" 
A,depth[+],"what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8" 
A,flash[-],"relative to what i can easily achieve with external flash on my nikon slr  the internal flash on the g3 produces harsh  flat images with ugly hot spots" 
A,external flash hot shoe[+],"fortunately  the g3 has a hot shoe that can take an external flash  and fortunately for me  i already owned a one of the highest quality external flashes that money can buy , the metz 60 ct-" 
A,flash[+],"contrary to what ive read elsewhere  the g3 does sync at 1/250 of a second with third-party flashes  just as it does with the dedicated flashes from canon" 
A,software[-],"now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf  which gives me 130 raw images  as opposed to 7 ! 
A,software[-],"the canon software for raw images does not present you with a raw image at all  but the raw image after it has been processed by all the image-affecting settings in the camera" 
A,g3[+],"what this plug-in reveals is the truly stunning quality of the raw g3 hardware" 
A,color[+],"without any tweaking at all  if the exposure is accurate  the colors are as realistic as ive ever seen produced by film  and this is a raw image ! 
A,g3[+]software[-],"the adobe camera raw plug-in shows once again that hardware is miles ahead of software" 
A,software[-],"what the g3 raw image software gives you is a fantasy world designed to please the uncritical" 
A,image[+],"but at least youre starting with the most photorealistic images ive ever seen from a camera" 
A,raw image[+],"i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system )  and can easily put up with the cameras limitations  because ive never seen anything better within its resolution limits" 
A,camera[+][p],"i 've had this for 3 months now  and i am pleased with my decision" 
A,camera[+],"this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well" 
A,battery life[+],"battery life  the drawback to most digital cameras  to quote k. reeves" 
A,manual function[+]picture quality[+],"manual functionality is excellent  downloading pictures is quick and a breeze  and the quality is astounding" 
A,viewfinder[-]lcd[+]camera[+],"not perfect ( yes  the viewfinder can get obstructed in instances.but the lcd works well enough in those instances )  not the cheapest 4.0 mp  but the best 4.0 mp" 
A,service[+],"the service from the supplier was exceptional" 
A,photo[+],"having used it for more than a month  i can say that it consistently produces topnotch photos" 
A,photo[+],"by cocking the shutter to the halfway position and getting the settings ready to shoot  i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced" 
A,automode[+]manual mode[+],"the camera is a dream to operate in automode  but also gives tremendous flexibility in aperture priority  shutter priority  and manual modes" 
A,viewfinder[-],"about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder" 
A,camera[+],"i can 't write enough positive things about this great little camera ! 
A,canon[+],"but canon never fails to amaze" 
A,raw format[+],"1" the ability to selectively switch to raw format during record review gives you incredible more post-processing flexibility" 
A,battery life[+],"2" battery life is over 4.5 hours  compared to about 2.5 hours for the g2 or the 2 hours for most nikons" 
A,software[+],"3" the remote capture and fileviewer software bundled for photo capture is mind-blowing" 
A,shape[+],"4" the shape of this device is a little squarer  without losing the weight which means better balance and less shaking while clicking" 
A,light auto correction[+],"the light auto-correction is awesome" 
A,picture[+],"you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right" 
A,white offset[+],"8" perhaps inspired by the canon 's factory white-correction settings ( which were found lacking and had to be altered by a user before the white edges from buildings etc could be cleaned out )  the g3 has much sharper white offsets" 
A,g3[+],"overall  the g3 delivers what must be considered the best image quality of any current > 4 megapixel digicams  from a detail  tonal balance and color response point of view" 
A,camera[+][p],"this is quite simply the best you can ask for" 
A,[t]love the g2 
A,low light focus[-],"the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds" 
A,picture[-],"got way too many blurry pictures" 
A,photo[+] use[+] software[+],"4mp  4x optical zoom  takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras  easy to understand and use ( has a great swivel lcd screen )  a lot of features and add-on options  comes with great software ( not to be overlooked )  and last but by far not least  received my fiance 's stamp of approval ( two thumbs up ! ) 
A,[t]upgraded from g2 and not looking back 
A,camera[+],"the powershot g3 is a great camera" 
A,photo[+],"because it can help a so-so photographer take spectacular photos ! 
A,camera[+],"4 megapixels is plenty for all but pros  and you will not be disappointed with the results of this camera" 
A,feature[+],"it 's slightly lighter than the g2 and packed with even more features" 
A,unresponsiveness[-],"the catch with the canon g3 camera  ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots" 
A,delay[-][u],"it sometimes takes the picture at some indefinite period of time after you press the shutter button" 
A,delay[-][u],"canon 's g3 does it consistently" 
A,focus[-] shoot[-],"it feels slow to focus  and unbearably slow to shoot" 
A,g3[-],"unfortunately  this digital moment-capturing device called the g3 sometimes captures the moment after the one you wanted" 
A,[t]100 % happy 
A,camera[+],"this is my first digital camera and i could n't be happier" 
A,picture quality[+],"i love the quality of the pictures" 
A,picture quality[+][p],"they look fantastic" 
A,[t]the best 4mp out there 
A,4mp camera[+],"the canon g3 is perhaps the best 4mp camera out there" 
A,picture[+],"with canon  you get pictures that appear to be photos  not still camcorder shots" 
A,control[+]menu[+],"i love the eos based controls and easy menus" 
A,lens cap[-],"1 ) the included lens cap is very loose on the camera" 
A,body[-],"2 ) the body construction - buttons  casing  etc  are too plastic" 
A,casing[-],"it had a heavier and more sturdy casing" 
A,performance[+][p],"i bought it for my trip to beunos aires  and also used it at the iguazu falls  and could not have asked for more perfect performance ! 
A,camera[+],"this camera is worth every penny  and i highly recommend it ! 
A,battery life[+],"another point of note , the battery life is incredible ! 
A,camera[+],"am i ever glad that i decided on this camera ! 
A,camera[+],"i 've only had it a week  but so far  everything about this camera is making me happy" 
A,menu[+],"very intuitive menus are a big plus on this camera" 
A,battery[+],"the standard battery include with the g3 is a camcorder battery that will allow me to take pictures all day without worrying about charging" 
A,optical zoom[+]viewfinder[+],"the optical zoom is awesome  and the viewfinder reflects the settings of the zoom" 
A,viewfinder[-],"one little minor flaw with this camera is that the lens is visible in the viewfinder  but does not detract from the image at all" 
A,camera[+],"the best 4 megapixel/4x optical zoom camera available and fairly easy to use" 
A,camera[+],"because this camera is beautiful" 
A,look[+],"the g3 looks like a work of art ! 
A,finish[+],"its silver magnesium finish is stunning  and the sharp lines and excellent grip are better than any other camera i 've seen" 
A,camera[+][p],"i am very pleased with it so far" 
A,viewfinder[-],"you can see the lens barrel in the view-finder" 
A,tiff format[-],"( i knew this before hand  and it is not that bad ) there is no tiff format" 
A,lag[-],"it seems to me that after the focus and metering are complete there is quite a lag before the shutter ? 
A,import[+],"it is very simple to import via iphoto 2 and then move them to photoshop" 
A,camera[+],"i am quite happy with the camera" 
A,manual[+],"it comes with a clearly written manual and the learning curve is not too too steep" 
A,camera[+][p],"yes  i recommend it over the competition" 
A,camera[+],"best camera ever" from the image quality  color  function  i can say almost everything" 
A,stitch picture[+],"this camera has a cool stitch pictures feature  to find out more just log on to canon 's website" 
A,picture[+],"first and foremost  it will take better pic 's than most film camera 's" 
A,camera[+],"this camera has none of these flaws and will be something you 'll use all the time" 
A,camera[+],"however  for a $ 600 - $ 800 budget  i think this camera is an excellent choice" 
A,design[+] feature[+]use[+][u]battery[+],"it has a beautiful design  lots of features  very easy to use  very configurable and customizable  and the battery duration is amazing ! 
A,display[+],"also  the display is " hinged " and it can be placed in a myriad of positions  or to protect it against any damage" 
A,compactflash[-],"one bad thing is that it comes with a pitiful 32mb compactflash card  and for most purposes  it is not enough" 
A,noise[+],"another good thing is that this camera seems to introduce much less noise in dark places than others i 've seen" 
A,camera[+],"i have owned this camera for a short time and would n't give it up for anything" 
A,camera[+],"it surpasses my greatest expectations in a 4mp camera". 
A,use[+][u]design[+][u],"in general it is easy to use and well laid out" 
A,use[+]control[+],"it makes up for this by being extremely easy to use with well laid out controls that can be learned quickly" 
A,feature[+],"the g3 has most if not all of the features that you would want from a semi-pro / pro slr with a good range of manual options for those who know something about photography" 
A,auto mode[+],"in the hands of someone who does n't  it will yield good results on idiot program / auto mode" 
A,memory card[-],"the included memory card is too small" 
A,made[-],"it is made of plastic" 
A,lens[-],"the zoom lens unit feels fragile and it is worth buying a good camera bag if you are going put to carry it round a lot" 
A,size[-][u],"while light  it will not easily go in small handbags or pockets" 
A,lever[-],"the function lever - the one which switches between capture and view mode feels fragile" 
A,flash[-],"flash - as with all built-in flashes in small cameras  you get overilluminated main subjects with depth being lost" 
A,strap[-],"the strap is horrible and gets in the way of parts of the camera you need access to" 
A,camera[+],"the functionality on this camera is mind-blowing" 
A,option[+} control[+],"canon have packed a lot in here and the options and controls are easy to use and logically laid out" 
A,learning[+],"learning how to use it will not take very long" 
A,image quality[+],"the image quality is excellent" 
A,function[+],"range of functions - as indicated above - it has something for everyone , point and shoot power plus advanced functions for those who are serious about photography" 
A,camera[+],"this is by far the finest camera in its price and category i have ever used" 
A,macro[+] auto mode[+],"the macro works great for medical photographs and the auto mode is terrific for point and shoot" 
A,camera[+],"this camera is closest to perfect than any other digicam that is 4- megapixel" 
A,4mp resolution[+],"i 'm glad canon decided to keep the 4mp resolution and improved upon it with new technology ; 
A,distortion[-][u],"yes there is a corner lens barrel distortion ( i do n't like it too but no harm done since i always use the camea lcd screen to see exactly what i 'm going to get ) in the viewfinder when you do n't zoom ( when you zoom the lens distortion goes away )  canon knows this and engineered it that way to minimize the parallax phenomenon ; that is what lmost exactly ot the picture" 
A,shot[+],"in terms of the shots taken  this camera is insanely great ! 
A,picture[+]learning curve[+],"the pictures are fabulous and their is a ( short ) learning curve to it ; there are tons of features i have n't even gotten to" 
A,picture quality[+],"i 've been pleased with the picture quality and durability in snow  car  boat and wind" 
A,[t]canon g3 review / response / recommendation 
A,camera[+],"the camera 's a work of art / science -- that 's understood" 
A,picture[+]feel[+][u],"it takes great pictures  operates quickly  and feels solid" 
A,viewfinder[-],"to address two previous somewhat negative reviews , ( 1 ) yes  the lens barrel does obstruct part of the lower left corner in the lens viewfinder ; however  the lcd viewfinder is rather stunning and i find myself rarely using the lens viewfinder" 
A,design[-],"this camera has a major design flaw" 
A,viewfinder[-],"when you look through the viewfinder ( not the lcd ) the bottom left corner of the picture ( about 15 % ) is blocked by the lens" 
A,camera[+],"everything else about the camera is great" 
A,camera[+],"if you strictly use the lcd and not the view finder  i highly recommend the camera" 
A,camera[+][u],"and so far  i 've been very pleased" 
A,lens[+]optical zoom[+],"the larger lens of the g3 gives better picture quality in low light  and the 4-times optical zooms gets you just that much closer" 
A,lcd[+],"the moveable lcd screen is great" 
A,remote[+],"the tiny ( postage-stamp sized ) remote unit is wonderful , not only does it trigger the shutter  it can also be used to zoom and review pictures" 
A,hot shoe flash[+],"the hot shoe flash attachment allowed me to buy and use a sophisticated flash unit , 
A,battery[+],"i needed three batteries to keep myself going with the s330  but the battery in the g3 is a real powerhouse , 
A,battery charging system[+],"the g3 has a different type of battery charging system from the smaller canon cameras , the battery needs to be charged while in the camera  but the charging system also enables you to use the camera while plugged in without running down the battery" 
A,manual[+],"i have yet to try using all of the adjustment options , shutter priority  aperature priority  light metering adjustments  etc.  but all controls are well thought out and and the manual is relatively clear" 
A,highlight[-],"i 've been bothered by blown-out highlights on the s330  and the g3 seems to do only slightly better" 
A,no-off button[-],"the on-off button feels somewhat flimsy  and has an awkward  tiny little lock-out button that needs to be depressed to turn on the camera" 
A,body[-],"and the body / construction in general has quite a bit of plastic  a disappointment after the stainless steel heft of the s330" 
A,download[+],"i was worried that 4 megapixel photos would download more slowly  but there 's no difference in working with the files" 
A,camera[+],"i 've now had the camera for two months and i 'm even more pleased with it" 
A,camera[+]use[+]photo[+],"very comfortable camera  easy to use  and the best digital photos you 're going to get at this price" 
A,[t]best non-slr digital camera under 5 megapixels 
A,g3[+],"i 've been using the g3 for about six weeks and it has proven itself to be all that it 's advertised" 
A,camera[+],"all-in-all  i believe this is arguably the best non-slr digital camera on the market" 
A,optic[+],"canon 's optics are better and i believe their processing algorithms are also better" 
A,digital camera[+],"simply  the canon g3 is the best digital camera out there today at this price point" 
A,battery life[+],"the battery life of this camera is twice that of the nikon 5000 and is better than anything else i 've seen" 
A,look[-],"the only minor nits i have with the camera are it is fairly boxy looking  it needs a wrist strap instead of a neck strap  and it is a bit slow between shots" 
A,camera[+],"even with these shortcomings  i still think it is the best digital camera available under $ 1200" 
A,[t]great camera but g2 will do the same for less 
A,camera[+],"definetely a great camera" 
A,quality[+]lens[+],"proven canon built quality and lens" 
A,feel[+],"feels solid in hand" 
A,weight[-]camera[+],"rather heavy for point and shoot but a great camera for semi pros" 
E,affordability[+],"while  there are flaws with the machine  the xtra gets five stars because of its affordability" 
E,bang-for-the-buck[+][u],"it is the most bang-for-the-buck out there" 
E,size[+]weight[+]navigational system[+] sound[+],"like it 's predecessor  the quickly revised nx  this player boasts a decent size and weight  a relatively-intuitive navigational system that categorizes based on id3 tags  and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business )" 
E,screen[+],"the xtra improves upon the zen nx with a larger  now-blue backlit screen  which is infinitely better" 
E,deal[+],"i chose this one because from what i read  it was the best deal for the money" 
E,wma file[+],"another reason i got it is because you can put wma files on it" 
E,software[+],"the software is great" 
E,software[+],"transfering is easy  the software makes everythig pretty easy" 
E,battery life[+],"even the battery life is great - it advertises 14 hours  it 's actually a little less but still good" 
E,accessory[-],"only 1 problem  no accessories".. yet" 
E,remote[-],"i hope it 's because it 's new and they are not out yet  but being without a remote is hard" 
E,interface[+],"they player 's interface itself is also very easy to use" 
E,player[+][p],"get it  it 's woth every penny ! ! 
E,player[+][p],"i 've had it for a week now  do n't regret the purchase one bit  and i never leave home without it" 
E,software[+],"software is easy to use ( although redhat software is better  but costs money ) 
E,price[+],"much cheaper than i-pod good looking player ( beautiful blue back-lit screen ) if you 've read about the player  some have complained about the lack of a viewing hole for the face when the case is on  but this is good because the face does n't get damaged / scratched fast transfer rate 
E,headphone[-],"you 're going to need to buy new headphones  the stock ones suck 
E,sound[+],"the zen xtra sounds great with good headphone and well recored mp3s" 
E,navigation[-],"navigation is a bit tricky and takes getting used to but the included pdf instructions cover the operation pretty well" 
E,weight[+],"at 8 ounces it is pretty light but not as light as the ipod" 
E,battery[+]leather case[+],"the battery is replaceable ( a real plus ) and there is a leather case ( another real plus )" 
E,software[+],"so far the software for the pc works easily" 
E,looking[+],"by the way  it looks nice also" 
E,player[+][p],"it 's worth it" 
E,battery life[+]price[+],"my two main requirements were longer battery life and lower price , i found both" 
E,sound[+] headphone[-],"the sound is excellent  but a tip , get a real pair of headphones" 
E,control[+],"the controls are on the side instead of on the front  which i like  because that 's where my thumb is when i hold the thing ! 
E,scroll wheel[+],"the scroll wheel is a big improvement over the ipod touchpad" 
E,size[-],"it could be a little bit bigger  but it 's easy to get used to" 
E,screen[-],"the screen may be a little smaller  but it is very readable and does n't come in the overused blue" 
E,firewire[-],"it does n't have firewire  not a real complaint since most windows users do n't generally have firewire cards themselves" 
E,leather pouch[+],"the included leather pouch is a big plus , it actually protects the unit well  something a lot of ' carrying cases ' fail to do with other audio devices" 
E,battery[+]construction[+]size[+]weight[+],"other plusses , changable battery  loads of presets for environments  decent construction  still quite small and light despite being slightly bigger than an ipod" 
E,size[+][u]sound[+]price[+],"overall , small  sounds great  and less expensive than apple 's overpriced ipod ! 
E,battery[+],"( batteries last longer too ! ) 
E,player[+] price[+],"the creative labs zen xtra has all the features the i-pod has and if you get if from amazon your only going to pay $ 300 for this great player" 
E,player[+],"i 've had it for about 2 weeks and it 's the best player i 've seen  and used  ever" 
E,menu[+],"the music is easy to get to ( all of the menus are easy to understand despite what alot of i-pod owners say ) and if you know how to search for an artist by name online  then you can do the same with the zen" 
E,screen[+],"the screen is very easy to read and the blue light is bright enough to read at night  but dim enough so it does n't blind you when you stare too long" 
E,player[+]use[+] software[+]sound[+],"all in all this a great player that blows the i-pod away  with easy to use and understand features  software that is simple to understand and use  and a great sound ( which is all that matters in a mp3 player )" 
E,program[+],"it 's a very intuitive program" 
E,installation[+],"i had no problems following their installation instructions" 
E,menu[+],"the menus are very easy to navigate" 
E,scroll wheel[-],"the only complaint i have is that when you push in the scroll wheel to select  you have to push straight in or it sticks" 
E,control[+],"the other controls are all very easy to use" 
E,play option[+],"it has several play options  one of the best is an option to shuffle  based on all or a certain playlist" 
E,playlist[-],"the only downside i see is that it does n't look like you can manage playlists from the nomad  it has to be done from the computer" 
E,price[+][u],"it also costs a lot less than the ipod" 
E,earbud[+],"the earbuds that come with it are n't that bad" 
E,earbud[+][p],"they 're pretty comfortable  stay in place and deliver a decent audio quality" 
E,deal[+],"this is a good deal for music and data storage" 
E,software[-],"the main problem with the nomad jukebox zen xtra 30 gb is the software" 
E,software[-],"the interface software itself  which should be user-friendly  was anything but easy-to-use" 
E,player[-],"the player itself has all sorts of problems" 
E,face plate[-],"the face-plate  which pops out for the battery  pops open by itself every 10 minutes or so" 
E,file transfer[-],"the player hangs up on file transfer every once-in-a-while  prompting a reset" 
E,scroll[-],"the scroll button is overly sensitive at times ; not sensitive enough at others" 
E,scroll[-],"depressing the scroll button ( for selecting ) is not always responsive" 
E,scroll[-],"the scroll bar problems make the task of creating playlists more frustrating" 
E,sound[+],"on the positive side  the sound of the player is pretty good  once you have everything configured" 
E,audio[+],"i have n't had time to really push this player to the limit  but audio aspects on the nomad are satisfactory  as should be expected from creative labs" 
E,player[-],"overall  a very disappointing product" 
E,setup[-]interface[-],"the setup process for the nomad is infuriating  and the interface with the player is sub-par" 
E,player[-],"the player 's mechanics are also flawed" 
E,player[-],"although the sound-quality is good  it takes more than good sound on a portable-mp 3 player to result in a good product" 
E,price[+],"when it came down to it  the price on this player is hard to beat" 
E,scroll[-],"one beef is the scroll  it does n't work as well as i 'd like" 
E,this thing[+],"other than that this thing is great".. 
E,battery[+],"zennx 's replaceable battery was the deciding factor in my purchase of zennx over ipod" 
E,battery[+],"the zennx will keep running for the price of a replacement battery  just like any other battery-powered appliance" 
E,earphone[-]software[-],"deficiencies with zennx are easily overcome with 3rd-party earphones ( $ 20 + ) and software ( $ 25 ). 
E,screen[+]switch[-],"the blue-screen display in the zennx xtra model is an improvement  but the toggle switch is still tricky" 
E,[t] terrific mp3 player  great price" 
E,nomad[+],"i love my new nomad  its great ! 
E,price[+],"for some this might be a problem  but for the price of a 30 gig ipod  you can get a 60gb nomad  the ipod simply pales in comparison" 
E,software[+],"the software is very easy to use  and within 30 minutes of opening my box  i was out and about listening to any one of my 80 cds" 
E,case[+],"the free ( i didnt know they still did that ) carrying case is really protective  and to me its the only accessory you need ( except good headphones )" 
E,headphone[-] sound[+],"on the subject of headphones  this thing seems like a normal mp3 player when you use the headphones they give you in the box  but invest 30 dollars in a nice pair and the sound quality goes up through the roof ! 
E,deal[+] mp3 player[+],"but if you want a great deal and a great mp3 player  get the nomad" 
E,player[+][u],"best electronic i 've bought since i was born" 
E,set up[+],"so easy to set up  had some problems with my archos" 
E,nomad explorer[+],"just easily drag and drop files into the nomad explorer and from there you easily alter id tags and sort your music according to your liking  by artist  song title  genre  etc. 
E,player[+][p]look[+][u],"not only is it functional and runs super smooth & fast  but it is also eye candy" 
E,design[+][u],"very sleek & stylish as well as the screen options and visuals it has" 
E,leather case[+],"the leather case it comes with is pretty nice  similar to a pda style case and does hold and protect it perfectly" 
E,button[+],"all the buttons & neccessary lil ' gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand" 
E,sound quality[+],"the sound quality is also nice".. after i hooked up my sony headphones instead of those factory earbuds it comes with" 
E,sound option[+],"lots of sound options  has an equalizer almost like winamp with the options" 
E,navigation[+],"navigation is so smooth and finding files is a cinch" 
E,navigation[+],"also navigating while playing music is a plus unlike my previous player" 
E,screen saver[+],"oh  and the screen saver feature is pretty sweet ^ _ ^ 
E,file limit[+],"another plus in my book  no file limits ! 
E,playlist[+],"i have over 2000 files in my playlist at the moment and the random does a nice job mixing it up" 
E,storage[+][u],"i am quite happy having over 10 gigs of music stored on this baby as well as a few gigs of media files in the data folder" 
E,player[+][u],"i really have no complaints over this unit" 
E,player[+],"i really do recommend this to anyone in need of a new player" 
E,installation[-],"getting the program to install properly has been a living hell experience" 
E,manual[-],"also  the instruction manual is very bad" 
E,player[+],"i have no complaints with this mp3 player" 
E,file transfer[+][u],"getting files onto it is quick and painless" 
E,sorting[+],"then sorting the files is easy as pie" 
E,storage[+][u],"and it holds sooooo much music and audio files" 
E,player[+][p],"my music demands are pretty intense and this handles those demands without problems" 
E,sound[+]earphone[-],"also  the sound is wonderful".. my only gripe were those aweful earphones that this came with" 
E,battery[+],"the battery is nice" 
E,screen[+],"the lcd screen was very large and readable" 
E,player[+],"compared to everything else in this category  this is most definately the best bang for the buck" 
E,zen[+],"i gave the zen 5 stars because it 's excellent for the class that it is in and it 's not really appropriate to rate it based on players in a different class" 
E,transfer[-],"transfering - i could not get my songs to completely transfer via usb 1.1 or 2.0" 
E,transfer[-],"it would only transfer 30 or so songs  and then come up with an error" 
E,scroll wheel[-],"scroll button - the scroll wheel was a nice idea to keep less clutter  but the button would sometimes get stuck or keep scrolling" 
E,size[-],"size - bigger than the ipod 
E,software[-],"software - music match jukebox is n't the greatest  the search funtion is n't fast even when accessing it with the hotkey shortcut" 
E,sound quality[+],"sound quality was the same between the two  but the zen did have more sound adjustments with the normal eax features" 
E,player[+],"i love this player" 
E,player[-][p],"all i have to say is that i did freeze on me once  but it has n't done it since" 
E,player[+],"i love this player and would probably go with creative labs again" 
E,software[+],"the software was great  as long as you have an adminstrative user account ( windows xp )" 
E,player[+],"anyway  this player is a great deal and i really love it" 
E,size[-][u]weight[-][u]look[-]folder structure[-],"first  the cons".. a tad bulky".. not the most asthetic looking player".. and does n't support a folder stucture" 
E,price[+][u],"way less expensive than the ipod" 
E,interface[+],"i find it pretty easy to use".. and unlike the remote interface for the audigy 2 nx ( on the pc )"." 
E,folder structure[-],"the cons are n't really a big deal to me".. except one con that does annoy me is the way it stores files".. no folder structure".. and it 's based on the title of the songs".. many of my songs where seperated into folders ( on the pc )".. and a few had same titles".. so i had to change the titles to make sure that i did n't have any that might be the same as another" 
E,chinese name[-],"and man".. i had to work to put my chinese songs on the player".. because i had the actual chinese names of the songs as the title". 
E,transfer[+],"not counting the time i spent editing the songs ( i suppose i should 've done it anyway on my pc ) the transfer was pretty painless" 
E,xtra[+][u],"bought the 30gb xtra a couple of weeks ago  and so far it has been excellent" 
E,storage[+][u],"i still have over 19gb left  and already have over 200 cd 's on it" 
E,interface[+][p]software[+][p],"both are very easy to learn & use  and intuitive enough for even a novice" 
E,transfer[+],"ripping & transferring tunes is basic  and pretty fast ( even on a 1.1 usb )" 
E,case[+],"people also have complained about the case not having a window  but that 's not really a big deal to me either -- the case is sturdy and offers very good protection" 
E,case[+][p],"it 's easy enough to pop it open to see what song you 're listening to" 
E,sound quality[+]look[+]screen[+] battery[+],"the sound quality is excellent ( and i 'm fussy with that stuff )  the unit looks cool  screen is bright and easy to read  and the replaceable battery means a major advantage over the ipod ( besides the price  but everyone knows that )" 
E,option[+],"you of course have some good customization options with the unit as well ( sound presets  navigating options  playlists  etc )" 
E,button[-],"the only thing i 'm concerned about is the quality / longevity of the buttons on the thing" 
E,button[-],"my " fast forward " button works  but it takes a little extra pressure on it to make it go" 
E,button[+],"all other buttons are pretty sensitive to touch and work well" 
E,support[+],"but i 've already emailed creative tech support about it  and gotten timely responses - they will fix it for me if necessary"." 
E,size[-],"sure  it 's a little bigger than the ipod  but not by much" 
E,size[+][u]weight[+],"it still fits in the palm of your hand  and it 's not heavy" 
E,product[+][u]price[+],"bottom line".. great product  unbeatable price" 
E,id3 tag[-],"unlike my 3 other mp3 players  this thing will only work properly if you have id3 tags on all of your tracks" 
E,id3 tag[-],"if you do n't have tags  it 'll lump all of your tracks into the same directory and they cannot be searched via artist or album as the zen does not recognize folders" 
E,player[+][u],"i just received my 40gb zen xtra yesterday and i 'm extremely pleased with it" 
E,setup[2] transfer[+],"the setup and transfer process was cake for me" 
E,transfer[-][u],"i did have to put a little work into renaming some duplicate file names to get all my music on my zen xtra but it was n't a big problem" 
E,explorer[-],"the explorer program did shut down a couple times while i was renaming titles and changing genres but i did n't have to reboot the computer or anything  just open up explorer again" 
E,player[-],"the unit itself did lock up a few times and i had to hit the reset button but that was a fairly painless process as well" 
E,player[+],"now that i have all my music on it there has n't been any more problems" 
E,screen[+],"the screen is large and bright and has all the info i need where i need it" 
E,eax mode[+],"the eax mode that keeps the volume at the same level for any song will come in handy when i take my holiday plane rides" 
E,jog dial[-],"the little jog dial seems weak and quirky and i hope i do n't figure out a way to break it" 
E,mp3 player[+],"all in all though i 'm very happy with my new mp3 player" 
E,nomad[+],"i purchased the nomad jukebox zen xtra 40gb and it is fantastic ! 
E,installation[-],"i have windows xp pro and when installing the enclosed software i did receive a message that there was a problem installing the driver" 
E,software[+],"i found using the supplied mediasource software very easy" 
E,playlist[+],"ripping your songs and creating playlists could n't be any easier" 
E,mediasource[+],"i found using mediasource to load your songs to the nomad jukebox to be much easier and faster than using windows explorer" 
E,playback quality[+],"being a creative product the playback quality is unbeatable" 
E,sound[+][u],"when i played back a symphony orchestra you would swear that you were seated dead center in front of the orchestra - it 's that good ! 
E,sound quality[+],"the sound quality with jazz and pop music is equally superior" 
E,nomad[+],"actually using the nomad jukebox is easy and uncomplicated" 
E,finding[+],"finding a particular song ( s ) or album on the nomad jukebox is fast and easy" 
E,screen[+],"the high resolution screen is easy to read and has a backlight" 
E,use[+] playback quality[+]price[+],"i can highly recommend this product because of its ease of use ( hardware and software )  playback quality and value for the price" 
